,ORI,DATA_YEAR,POPULATION
638,AZ0110000,2009,163398
639,AZ0110000,2008,196845
640,AZ0111300,2017,40672
641,AZ0111300,2016,38506
642,AZ0111300,2015,38519
643,AZ0111300,2014,37274
644,AZ0111300,2013,36626
645,AZ0111300,2012,36986
646,AZ0111300,2011,36347
647,AZ0111300,2010,35840
648,AZ0111300,2009,32869
649,AZ0111300,2008,31521
650,AZ0130000,2017,93915
651,AZ0130000,2016,93191
652,AZ0130000,2015,92381
653,AZ0130000,2014,91529
654,AZ0130000,2013,89448
655,AZ0130000,2012,89012
656,AZ0130000,2011,88917
657,AZ0130000,2010,87676
658,AZ0130000,2009,86716
659,AZ0130000,2008,87248
660,AZ0131100,2017,43891
661,AZ0131100,2016,42900
662,AZ0131100,2015,41661
663,AZ0131100,2014,40035
664,AZ0131100,2013,39209
665,AZ0131100,2012,39407
666,AZ0131100,2011,39372
667,AZ0131100,2010,38822
668,AZ0131100,2009,40539
669,AZ0131100,2008,39856
670,AZ0131300,2017,11299
671,AZ0131300,2016,11213
672,AZ0131300,2015,11155
673,AZ0131300,2014,11055
674,AZ0131300,2013,10942
675,AZ0131300,2012,11033
676,AZ0131300,2011,11027
677,AZ0131300,2010,10873
678,AZ0131300,2009,11012
679,AZ0131300,2008,11011
680,AZ0140500,2017,95522
681,AZ0140500,2016,94696
682,AZ0140500,2015,93923
683,AZ0140500,2014,92075
684,AZ0140500,2013,96014
685,AZ0140500,2012,95568
686,AZ0140500,2012,95568
687,AZ0140500,2011,94381
688,AZ0140500,2010,93064
689,AZ0140500,2009,91433
690,CA0010100,2017,79761
691,CA0010100,2016,79597
692,CA0010100,2015,78613
693,CA0010100,2014,77048
694,CA0010100,2013,76206
695,CA0010100,2012,75467
696,CA0010100,2011,74680
697,CA0010100,2010,73812
698,CA0010100,2009,70372
699,CA0010100,2008,69998
700,CA0010200,2017,19880
701,CA0010200,2016,19975
702,CA0010200,2015,19723
703,CA0010200,2014,19350
704,CA0010200,2013,19104
705,CA0010200,2012,18960
706,CA0010200,2011,18757
707,CA0010200,2010,18539
708,CA0010200,2009,15950
709,CA0010200,2008,15909
710,CA0010400,2017,11971
711,CA0010400,2016,12060
712,CA0010400,2015,11549
713,CA0010400,2014,10972
714,CA0010400,2013,10415
715,CA0010400,2012,10309
716,CA0010400,2011,10199
717,CA0010400,2010,10080
718,CA0010400,2009,9929
719,CA0010400,2008,9704
720,CA0010500,2017,236368
721,CA0010500,2016,235881
722,CA0010500,2015,232427
723,CA0010500,2014,227575
